# LVM fiducial metrology file
#
# The purpose of this file is to give fiducial positions relative to the center of an IFU
# for fibers in a given bundle.  The fiber numbering scheme here is clockwise starting
# from the center, incrementing along the vertical x=0 axis, using the Excel IFU fiber map
# schematic as guide. The data structure is as follows.
#
# Data table entries:
# 1) fiberid: Fiber number within the bundle.
# 2) ringid: Ring id number of the fiber
# 3) ringfnum: Fiber number within a ring, starting from 1, at the vertical x=0 position
# 4) raoff: The ra offset of the fiber in arcsec relative to the ifu center
# 5) decoff: The dec offset of the fiber in arcsec relative to the ifu center
#
# raoff and decoff are both given in arcseconds, so they should be added to the central pointing to get
# the effective on-sky coordinates of the fiber
# E.g., if RA=213.3423D and DEC=52.3234D in decimal degrees (ALWAYS use double precision here!)
# then RAfiber=RA+raoff/3600.D/cos(DEC*!DPI/180.)    DECfiber=DEC+decoff/3600.D
#
# Assumes that fiberdiameter=35.3 arcsec
#

fiberid,ringid,ringfnum,raoff,decoff
170,9,1,-0.0,295.9998
171,9,2,-32.0429,277.4998
172,9,3,-64.0858,258.9999
173,9,4,-96.1287,240.4999
174,9,5,-128.1717,221.9999
175,9,6,-160.2146,203.4999
176,9,7,-192.2575,185.0
177,9,8,-224.3004,166.5
178,9,9,-256.3434,111.0
179,9,10,-256.3434,74.0
180,9,11,-256.3434,37.0
181,9,12,-256.3434,0.0
182,9,13,-256.3434,-37.0
183,9,14,-256.3434,-74.0
184,9,15,-256.3434,-111.0
185,9,16,-256.3433,148.0
186,9,17,-256.3433,-148.0
187,9,18,-224.3004,-166.5
188,9,19,-192.2575,-185.0
189,9,20,-160.2146,-203.4999
190,9,21,-128.1717,-221.9999
191,9,22,-96.1287,-240.4999
192,9,23,-64.0858,-258.9999
193,9,24,-32.0429,-277.4998
194,9,25,-0.0,-295.9998
195,9,26,32.0429,-277.4998
196,9,27,64.0858,-258.9999
197,9,28,96.1287,-240.4999
198,9,29,128.1717,-221.9999
199,9,30,160.2146,-203.4999
200,9,31,192.2575,-185.0
201,9,32,224.3004,-166.5
202,9,33,256.3434,-111.0
203,9,34,256.3434,-74.0
204,9,35,256.3434,-37.0
205,9,36,256.3434,0.0
206,9,37,256.3434,37.0
207,9,38,256.3434,74.0
208,9,39,256.3434,111.0
209,9,40,256.3433,-148.0
210,9,41,256.3433,148.0
211,9,42,224.3004,166.5
212,9,43,192.2575,185.0
213,9,44,160.2146,203.4999
214,9,45,128.1717,221.9999
215,9,46,96.1287,240.4999
216,9,47,64.0858,258.9999
217,9,48,32.0429,277.4998
218,10,1,-0.0,332.9997
219,10,2,-32.0429,314.4998
220,10,3,-64.0858,295.9998
221,10,4,-96.1287,277.4998
222,10,5,-128.1716,258.9999
223,10,6,-160.2146,240.4999
224,10,7,-192.2575,221.9999
225,10,8,-224.3004,203.4999
226,10,9,-256.3433,185.0
227,10,10,-288.3863,55.5
228,10,11,-288.3863,18.5
229,10,12,-288.3863,-18.5
230,10,13,-288.3863,-55.5
231,10,14,-288.3862,166.5
232,10,15,-288.3862,129.5
233,10,16,-288.3862,92.5
234,10,17,-288.3862,-92.5
235,10,18,-288.3862,-129.5
236,10,19,-288.3862,-166.5
237,10,20,-256.3433,-185.0
238,10,21,-224.3004,-203.4999
239,10,22,-192.2575,-221.9999
240,10,23,-160.2146,-240.4999
241,10,24,-128.1716,-258.9999
242,10,25,-96.1287,-277.4998
243,10,26,-64.0858,-295.9998
244,10,27,-32.0429,-314.4998
245,10,28,-0.0,-332.9997
246,10,29,32.0429,-314.4998
247,10,30,64.0858,-295.9998
248,10,31,96.1287,-277.4998
249,10,32,128.1716,-258.9999
250,10,33,160.2146,-240.4999
251,10,34,192.2575,-221.9999
252,10,35,224.3004,-203.4999
253,10,36,256.3433,-185.0
254,10,37,288.3863,-55.5
255,10,38,288.3863,-18.5
256,10,39,288.3863,18.5
